timestamp,BTCUSDT_open,BTCUSDT_high,BTCUSDT_low,BTCUSDT_close,BTCUSDT_volume,XRPUSDT_open,XRPUSDT_high,XRPUSDT_low,XRPUSDT_close,XRPUSDT_volume,ETHUSDT_open,ETHUSDT_high,ETHUSDT_low,ETHUSDT_close,ETHUSDT_volume,SOLUSDT_open,SOLUSDT_high,SOLUSDT_low,SOLUSDT_close,SOLUSDT_volume,DOGEUSDT_open,DOGEUSDT_high,DOGEUSDT_low,DOGEUSDT_close,DOGEUSDT_volume,ADAUSDT_open,ADAUSDT_high,ADAUSDT_low,ADAUSDT_close,ADAUSDT_volume,SHIBUSDT_open,SHIBUSDT_high,SHIBUSDT_low,SHIBUSDT_close,SHIBUSDT_volume,DOTUSDT_open,DOTUSDT_high,DOTUSDT_low,DOTUSDT_close,DOTUSDT_volume,BTTUSDT_open,BTTUSDT_high,BTTUSDT_low,BTTUSDT_close,BTTUSDT_volume,LINKUSDT_open,LINKUSDT_high,LINKUSDT_low,LINKUSDT_close,LINKUSDT_volume,ALGOUSDT_open,ALGOUSDT_high,ALGOUSDT_low,ALGOUSDT_close,ALGOUSDT_volume,AVAXUSDT_open,AVAXUSDT_high,AVAXUSDT_low,AVAXUSDT_close,AVAXUSDT_volume
2020-07-03,9086.54,9125.0,9037.47,9058.26,28943.420177,0.17476,0.17865,0.1743,0.1762,93559429.8,226.46,228.13,223.97,224.87,314578.5004,,,,,,0.0023172,0.0023345,0.0022882,0.0023139,76387879.0,0.09291,0.1021,0.09221,0.09655,690799829.5,,,,,,,,,,,0.0003251,0.0003339,0.0003123,0.0003181,4748135121.0,4.7998,4.8964,4.7031,4.7309,4622377.34,0.2049,0.2084,0.202,0.2034,6320267.12,,,,,
2020-07-04,9057.79,9190.0,9040.04,9135.46,26441.968484,0.17618,0.17964,0.17593,0.17808,101070772.2,224.86,230.71,224.43,229.17,307726.46593,,,,,,0.0023155,0.0023312,0.0022993,0.0023012,60368775.0,0.09652,0.10118,0.09591,0.10005,490805389.1,,,,,,,,,,,0.0003179,0.0003315,0.0003174,0.0003269,3914636606.0,4.73,4.8539,4.7186,4.82,2884275.22,0.2034,0.2178,0.2031,0.2177,6387656.29,,,,,
2020-07-05,9135.0,9145.24,8893.03,9069.41,34073.653627,0.1781,0.1788,0.17372,0.17695,109028272.5,229.24,229.85,223.05,227.56,355747.12006,,,,,,0.0023033,0.002319,0.0022787,0.0023029,88706470.0,0.10005,0.10005,0.0942,0.09813,397913451.9,,,,,,,,,,,0.000327,0.00033,0.0003142,0.0003245,4776375658.0,4.8198,4.8325,4.6118,4.7439,3650974.38,0.2172,0.2192,0.2079,0.2154,8135332.58,,,,,
2020-07-06,9069.41,9375.0,9055.92,9344.2,54463.132277,0.17691,0.18934,0.17644,0.18875,180480180.6,227.54,242.0,226.93,241.6,864817.507,,,,,,0.0022988,0.002622,0.002293,0.0026193,461294907.0,0.09815,0.10676,0.09722,0.10512,473375192.5,,,,,,,,,,,0.0003243,0.00034,0.000324,0.0003351,5235624517.0,4.7426,5.5,4.7362,5.3617,12032948.97,0.2154,0.2314,0.2154,0.229,13514157.43,,,,,
2020-07-07,9342.47,9379.42,9203.0,9257.39,34587.336678,0.18876,0.18969,0.18312,0.18508,119136986.1,241.6,243.77,234.4,239.39,600424.97209,,,,,,0.0026191,0.0032953,0.0025999,0.003136,3965388549.0,0.10512,0.11916,0.10289,0.11764,775869735.0,,,,,,,,,,,0.0003351,0.0003383,0.0003259,0.0003275,4882193256.0,5.3613,5.889,5.33,5.7248,13786031.79,0.229,0.2363,0.2235,0.2329,13297871.55,,,,,
2020-07-08,9257.4,9470.0,9231.0,9436.06,56140.517781,0.18508,0.20669,0.18382,0.20551,340558574.1,239.39,248.88,237.78,246.95,958185.83708,,,,,,0.003136,0.0055999,0.00291,0.0047657,23657008079.0,0.11764,0.13877,0.1147,0.12993,1587749613.1,,,,,,,,,,,0.0003272,0.0003463,0.0003199,0.0003457,5462408339.0,5.7245,6.5782,5.592,6.4987,16816910.79,0.233,0.2524,0.2296,0.2468,18771062.72,,,,,
2020-07-09,9436.06,9440.79,9160.0,9232.43,48044.450645,0.20544,0.21186,0.19667,0.20263,366287583.8,246.94,247.9,237.88,241.98,647641.58291,,,,,,0.0047626,0.0050594,0.00405,0.0043214,8645375967.0,0.12992,0.12993,0.11744,0.12403,893825632.2,,,,,,,,,,,0.0003457,0.0003989,0.0003363,0.0003942,11961527689.0,6.5001,6.5006,5.7029,6.082,12955549.78,0.247,0.2545,0.2336,0.2417,21255336.67,,,,,
2020-07-10,9232.42,9317.48,9125.0,9288.34,38295.494006,0.20263,0.20272,0.19252,0.19909,212898090.1,241.97,242.16,235.72,241.26,455025.12385,,,,,,0.0043225,0.0043334,0.0034001,0.0035313,7536784753.0,0.12401,0.12428,0.11026,0.11846,808057758.1,,,,,,,,,,,0.0003942,0.0004868,0.0003824,0.0004304,30847878246.0,6.082,6.2009,5.7096,6.1488,9946933.5,0.2413,0.2528,0.2282,0.2501,15618166.4,,,,,
2020-07-11,9288.34,9299.28,9178.25,9234.03,22561.366,0.19906,0.20482,0.19792,0.2011,171252017.6,241.27,241.67,237.54,239.19,294476.00626,,,,,,0.0035313,0.0039634,0.0034555,0.0038041,3661361202.0,0.11843,0.12726,0.11767,0.12523,460447487.7,,,,,,,,,,,0.0004294,0.0004392,0.0003947,0.0004021,7175600875.0,6.15,6.27,5.961,6.0994,5442718.22,0.2502,0.2949,0.249,0.2794,56408395.62,,,,,
2020-07-12,9234.02,9345.0,9157.5,9302.75,30872.702286,0.20112,0.20401,0.19758,0.20128,123496702.1,239.19,244.0,236.52,242.79,469315.1172,,,,,,0.0038109,0.0038501,0.0035799,0.0036358,1546255634.0,0.12519,0.12849,0.12036,0.12685,416611565.9,,,,,,,,,,,0.0004021,0.0004204,0.0003977,0.0004192,4921315712.0,6.1043,7.3898,6.0975,7.3345,18949318.62,0.2793,0.2861,0.2607,0.279,19196502.93,,,,,
